img_id,gt_index,size_bin,sqrt_area,class_id,num_p3_positive,s_pos,sigmoid_score,s_neg,margin,local_bg_over_threshold,matched_but_low_confidence,crowded
2,2,tiny-2,9.616753578186035,0,1,0.7214241027832031,0.6729205250740051,-1.3288853168487549,2.050309419631958,6,False,False
4,0,tiny-2,16.0,0,4,-1.9732134342193604,0.1220441535115242,-2.7558419704437256,0.7826285362243652,3,False,True
4,1,tiny-2,16.0,0,2,-1.212943196296692,0.229180708527565,-2.6394882202148438,1.4265450239181519,3,False,True
4,2,tiny-2,15.874507904052734,0,4,-1.3997955322265625,0.19784857332706451,-4.026819229125977,2.627023696899414,0,False,True
5,3,tiny-2,15.491933822631836,0,2,-4.017571449279785,0.01767846569418907,-6.423117160797119,2.405545711517334,0,True,True
5,7,tiny-2,14.422204971313477,0,2,-2.5945370197296143,0.06949083507061005,-4.386430263519287,1.7918932437896729,1,False,True
5,8,tiny-2,15.0,0,4,-3.7012085914611816,0.024098580703139305,-4.386430263519287,0.6852216720581055,1,True,True
5,10,tiny-2,10.006548881530762,0,2,-5.443005084991455,0.004307824652642012,-6.166986465454102,0.7239813804626465,0,True,True
6,0,tiny-2,9.6167631149292,0,1,-2.472534656524658,0.07780616730451584,-2.8498167991638184,0.37728214263916016,3,False,True
6,1,tiny-2,9.843069076538086,0,2,-1.874668836593628,0.1330024152994156,-2.8498167991638184,0.9751479625701904,3,False,True
8,5,tiny-2,13.856406211853027,0,2,-1.5181591510772705,0.17973275482654572,-3.715100049972534,2.1969408988952637,1,False,True
8,7,tiny-2,15.491933822631836,0,2,-1.5090256929397583,0.18108324706554413,-2.818840503692627,1.3098148107528687,4,False,False
9,3,tiny-2,14.966629981994629,0,2,-1.6271135807037354,0.16422614455223083,-3.0330259799957275,1.4059123992919922,2,False,False
10,0,tiny-2,15.491933822631836,0,2,1.165560007095337,0.7623415589332581,-1.5919760465621948,2.757535934448242,5,False,False
13,0,tiny-2,12.961481094360352,0,2,-1.401281476020813,0.19761283695697784,-3.652545213699341,2.2512636184692383,1,False,True
14,3,tiny-2,15.874507904052734,0,2,-5.6741743087768555,0.0034217541106045246,-6.37212610244751,0.6979517936706543,0,True,True
14,6,tiny-2,15.716233253479004,0,2,-5.916817665100098,0.002686522202566266,-6.380337715148926,0.4635200500488281,0,True,True
14,9,tiny-2,13.416407585144043,0,2,-6.097956657409668,0.002242415677756071,-6.729875087738037,0.6319184303283691,0,True,True
14,11,tiny-2,13.416407585144043,0,3,-7.224937438964844,0.0007276682299561799,-7.0536394119262695,-0.17129802703857422,0,True,True
16,0,tiny-2,13.416407585144043,0,2,-3.216799736022949,0.03853838890790939,-5.223006725311279,2.00620698928833,0,True,False
18,2,tiny-2,14.966629981994629,0,4,0.356825590133667,0.5882717967033386,-1.4169228076934814,1.7737483978271484,6,False,False
18,4,tiny-2,15.716233253479004,0,4,-1.0706939697265625,0.25527113676071167,-3.580688953399658,2.5099949836730957,0,False,False
18,5,tiny-2,15.198683738708496,0,3,-2.001155376434326,0.11908166855573654,-3.1857941150665283,1.1846387386322021,2,False,False
21,0,tiny-2,15.29705810546875,0,2,0.8289475440979004,0.6961323618888855,-2.056950330734253,2.8858978748321533,5,False,False
23,3,tiny-2,15.42724895477295,0,4,-2.0941734313964844,0.1096644252538681,-4.066451549530029,1.972278118133545,0,False,False
23,4,tiny-2,15.42724895477295,0,4,-1.3595545291900635,0.20431272685527802,-3.408695936203003,2.0491414070129395,0,False,False
23,6,tiny-2,15.874507904052734,0,2,0.38336706161499023,0.5946849584579468,-2.1676623821258545,2.5510294437408447,4,False,False
43,0,tiny-2,13.856406211853027,0,2,-1.5235414505004883,0.17894060909748077,-3.212824583053589,1.6892831325531006,2,False,True
43,1,tiny-2,15.0,0,2,-2.701066255569458,0.06291046738624573,-3.23944354057312,0.5383772850036621,2,False,True
45,1,tiny-2,10.547832489013672,0,1,1.1401867866516113,0.7577139735221863,-1.8344072103500366,2.9745941162109375,6,False,False
45,2,tiny-2,9.843070030212402,0,2,-3.329416275024414,0.03457570821046829,-4.365566253662109,1.0361499786376953,1,True,False
48,1,tiny-2,13.856406211853027,0,4,-2.0604071617126465,0.11300501227378845,-4.248533725738525,2.188126564025879,0,False,True
48,2,tiny-2,15.874507904052734,0,6,-3.4978644847869873,0.029373055323958397,-4.681581497192383,1.1837170124053955,0,True,True
48,3,tiny-2,15.491933822631836,0,4,-2.439919948577881,0.08017881214618683,-4.5123291015625,2.072409152984619,0,False,False
51,1,tiny-2,14.966629981994629,0,2,0.528456449508667,0.6291230320930481,-2.1394972801208496,2.6679537296295166,2,False,False
51,2,tiny-2,13.856406211853027,0,2,0.08764255046844482,0.5218966007232666,-3.4224114418029785,3.510054111480713,0,False,False
58,1,tiny-2,10.613539695739746,0,2,1.244178295135498,0.7762904763221741,-1.5746357440948486,2.8188140392303467,6,False,False
70,0,tiny-2,14.456831932067871,0,2,-1.3509533405303955,0.20571453869342804,-1.8519763946533203,0.5010230541229248,5,False,False
72,0,tiny-2,14.422204971313477,0,2,1.593686819076538,0.8311341404914856,-1.4363865852355957,3.030073404312134,6,False,False
73,0,tiny-1,7.0756988525390625,0,1,1.5350236892700195,0.8227401971817017,-1.4616222381591797,2.996645927429199,8,False,False
73,1,tiny-2,9.00692081451416,0,1,3.4629058837890625,0.9696136713027954,-0.9618906378746033,4.4247965812683105,9,False,False
75,1,tiny-2,15.968719482421875,0,4,-1.5568208694458008,0.17410330474376678,-3.7280919551849365,2.1712710857391357,0,False,False
102,1,tiny-2,15.968719482421875,0,2,-0.04808509349822998,0.48798105120658875,-2.819002389907837,2.7709174156188965,2,False,False
102,2,tiny-2,14.456831932067871,0,2,-0.7539409399032593,0.3199631869792938,-2.9153122901916504,2.1613712310791016,2,False,False
109,0,tiny-2,15.099668502807617,0,3,0.33726057410240173,0.5835248827934265,-1.391602873802185,1.7288634777069092,7,False,False
112,3,tiny-2,16.0,0,4,-0.5678362250328064,0.3617362678050995,-3.163513660430908,2.595677375793457,2,False,False
120,1,tiny-2,12.727922439575195,0,2,-4.726512908935547,0.008779540657997131,-3.9230172634124756,-0.8034956455230713,1,True,False
121,1,tiny-2,13.266499519348145,0,3,-1.8948414325714111,0.1306934356689453,-3.9749398231506348,2.0800983905792236,0,False,False
123,0,tiny-2,14.966629981994629,0,4,-0.6672380566596985,0.33911556005477905,-1.79934823513031,1.1321101188659668,6,False,False
132,4,tiny-2,11.07310962677002,0,2,-1.183815360069275,0.23436689376831055,-2.3039116859436035,1.1200963258743286,3,False,False
